index,index_x,index_y,pos_x,pos_y,disp_x,disp_y,strain_xx,strain_yy,strain_xy
0,0,0,355.0,445.0,1.08392333984375,-13.67822265625,0.0,0.0,-inf
1,0,1,355.0,465.0,1.036590576171875,-13.236907958984375,0.0,0.019745435596543286,nan
2,0,2,355.0,485.0,0.99835205078125,-12.880645751953125,0.0,0.018718719149051443,nan
3,0,3,355.0,505.0,0.949188232421875,-12.481201171875,0.0,0.018803277174439165,nan
4,0,4,355.0,525.0,0.87615966796875,-12.12158203125,0.0,0.016437195095821068,nan
5,0,5,355.0,545.0,0.7869873046875,-11.818603515625,0.0,0.016145684049662094,nan
6,0,6,355.0,565.0,0.6634521484375,-11.4710693359375,0.0,0.01939588495872503,nan
7,0,7,355.0,585.0,0.57110595703125,-11.0357666015625,0.0,0.01875594853702264,nan
8,0,8,355.0,605.0,0.50738525390625,-10.71405029296875,0.0,0.014969665801706812,nan
9,0,9,355.0,625.0,0.40875244140625,-10.43280029296875,0.0,0.016729770854262728,nan
10,0,10,355.0,645.0,0.345947265625,-10.03955078125,0.0,0.017488132796935667,nan
11,0,11,355.0,665.0,0.238616943359375,-9.72747802734375,0.0,0.017970634261480174,nan
12,0,12,355.0,685.0,0.177703857421875,-9.3145751953125,0.0,0.01931485158089569,nan
13,0,13,355.0,705.0,0.112060546875,-8.94757080078125,0.0,0.017632135935087424,nan
14,0,14,355.0,725.0,0.03900146484375,-8.603271484375,0.0,0.01958258732149327,nan
15,0,15,355.0,745.0,0.0091552734375,-8.15667724609375,0.0,0.021583052661280442,nan
16,0,16,355.0,765.0,-0.006561279296875,-7.7305908203125,0.0,0.028714329058712063,-2.9940262031685227
17,0,17,355.0,785.0,0.1094970703125,-6.9915771484375,0.0,0.03721838397144408,-2.3323379102284965
18,0,18,355.0,805.0,0.370330810546875,-6.21551513671875,0.0,0.038805565815748094,-2.062047440302212
19,0,19,355.0,825.0,0.756622314453125,-5.41387939453125,0.0,0.04315025107543643,-1.8970555630379702
20,0,20,355.0,845.0,1.27044677734375,-4.46142578125,0.0,0.07381407379483278,-1.6019769946780333
21,0,21,355.0,865.0,2.38067626953125,-2.3802490234375,0.0,0.0921166124618928,-1.5845275668494712
