index,index_x,index_y,pos_x,pos_y,disp_x,disp_y,strain_xx,strain_yy,strain_xy
0,0,0,354.0,460.0,0.20245836674027706,-3.8789619864980542,-0.001228018993684824,0.008286888130993724,-0.0007402477262069377
1,0,1,354.0,480.0,0.1424087637604505,-3.7156122952302986,-0.0007438934085455323,0.008123967881296065,-0.00046744877637530554
2,0,2,354.0,500.0,0.0982515750271879,-3.555447281493627,-0.000388248205355197,0.007988845814363935,-0.00017936566010365472
3,0,3,354.0,520.0,0.06794592247177005,-3.397393561124103,-0.0001402548019408131,0.00790523997436379,9.22528912281903e-05
4,0,4,354.0,540.0,0.04958680526443003,-3.240507127027962,1.892765102768715e-05,0.007866574711289532,0.00034366850010598027
5,0,5,354.0,560.0,0.04140140082695003,-3.083967330344646,0.00010621824602251239,0.007866626566906709,0.0005718993941527103
6,0,6,354.0,580.0,0.04174536584525852,-2.9270708616098364,0.000136689250432033,0.007899515438443538,0.0007746643980848445
7,0,7,354.0,600.0,0.04909913728202753,-2.7692257319184845,0.00012364795431534748,0.007959696909088251,0.0009503306047982129
8,0,8,354.0,620.0,0.06206423338926984,-2.609945254087862,7.872373191387354e-05,0.008041955644096916,0.0010978641601314656
9,0,9,354.0,640.0,0.07935955472093606,-2.4488420238205846,1.1958915932905921e-05,0.008141399755681317,0.0012167836511407953
10,0,10,354.0,660.0,0.09981768514551187,-2.2856219008676533,-6.809764958303177e-05,0.008253456044213755,0.0013071156404134924
11,0,11,354.0,680.0,0.12238119285861514,-2.120077990191486,-0.00015429527764970535,0.008373866027653526,0.0013693519390576073
12,0,12,354.0,700.0,0.14609893139559332,-1.9520846231289597,-0.00024078502415927975,0.00849868267546622,0.0014044082585244484
13,0,13,354.0,720.0,0.17012234064412018,-1.7815913385544413,-0.00032292271218619485,0.008624267767674216,0.0014135839263491505
14,0,14,354.0,740.0,0.19370174785679362,-1.6086168640428247,-0.00039717176752281986,0.008747289804043292,0.0013985223932432523
15,0,15,354.0,760.0,0.21618266866373206,-1.4332430970325678,-0.00046100611466545646,0.008864722392778242,0.0013611722987224623
16,0,16,354.0,780.0,0.23700210808517252,-1.2556090859887274,-0.0005128132818417922,0.008973843052466589,0.001303748899621779
17,0,17,354.0,800.0,0.255684861544067,-1.0759050115659952,-0.0005517977840101553,0.00907223236537678,0.0012286957004289747
18,0,18,354.0,820.0,0.27183981587868,-0.8943661677717342,-0.0005778847921456223,0.009157773424584516,0.001138646156356655
19,0,19,354.0,840.0,0.2851562503551858,-0.7112669431290134,-0.0005916240536359308,0.00922865152176747,0.0010363853494743183
20,0,20,354.0,860.0,0.2954001376802654,-0.5269148018396448,-0.0005940940003182849,0.009283354026875957,0.0009248115650374833
21,0,21,354.0,880.0,0.30241044501370407,-0.3416442649472201,-0.0005868059656752985,0.009320670415254277,0.0008068977193732666
22,0,22,354.0,900.0,0.3060954349809878,-0.1558108915001439,-0.0005716084290498419,0.009339692402154003,0.0006856526123216533
23,0,23,354.0,920.0,0.3064289666859015,0.030214740285327862,-0.0005505912105144738,0.00933981414894793,0.000564081996278476
24,0,24,354.0,940.0,0.3034467967231253,0.21605305186205448,-0.0005259895533165552,0.009320732509720342,0.0004451494703478481
